Time,GuiPids,GuiPrivateBytes,GuiCPU,CorePids,CorePrivateBytes,CoreCPU,Ports
2026-09-06T23:54:08.7845251+08:00,[19264],[158818304],[5.671875],[432],[77357056],[9.296875],"[7890, 7891, 9090]"
2026-09-06T23:54:13.8546270+08:00,[19264],[158818304],[5.6875],[432],[77393920],[9.328125],"[7890, 7891, 9090]"
2026-09-06T23:54:18.9487755+08:00,[19264],[158818304],[5.71875],[432],[77393920],[9.359375],"[7890, 7891, 9090]"
2026-09-06T23:54:24.0033370+08:00,[19264],[158818304],[5.734375],[432],[77393920],[9.375],"[7890, 7891, 9090]"
2026-09-06T23:54:29.0657772+08:00,[19264],[158818304],[5.75],[432],[77393920],[9.375],"[7890, 7891, 9090]"
2026-09-06T23:54:34.1081866+08:00,[19264],[158818304],[5.75],[432],[77393920],[9.390625],"[7890, 7891, 9090]"
2026-09-06T23:54:39.1768847+08:00,[19264],[158818304],[5.765625],[432],[77393920],[9.484375],"[7890, 7891, 9090]"
2026-09-06T23:54:44.2544118+08:00,[19264],[158818304],[5.78125],[432],[77393920],[9.5],"[7890, 7891, 9090]"
2026-09-06T23:54:49.3105422+08:00,[19264],[158818304],[5.796875],[432],[77393920],[9.53125],"[7890, 7891, 9090]"
2026-09-06T23:54:54.3810524+08:00,[19264],[158818304],[5.8125],[432],[77451264],[9.609375],"[7890, 7891, 9090]"
2026-09-06T23:54:59.4511007+08:00,[19264],[158818304],[5.828125],[432],[77484032],[9.65625],"[7890, 7891, 9090]"
2026-09-06T23:55:04.4942468+08:00,[19264],[158818304],[5.84375],[432],[77516800],[9.71875],"[7890, 7891, 9090]"
2026-09-06T23:55:09.5461305+08:00,[19264],[158818304],[5.84375],[432],[77516800],[9.796875],"[7890, 7891, 9090]"
2026-09-06T23:55:14.5906259+08:00,[19264],[158818304],[5.859375],[432],[78073856],[9.828125],"[7890, 7891, 9090]"
2026-09-06T23:55:19.6390617+08:00,[19264],[158818304],[5.859375],[432],[78073856],[9.828125],"[7890, 7891, 9090]"
2026-09-06T23:55:24.7026119+08:00,[19264],[158818304],[5.890625],[432],[78073856],[9.859375],"[7890, 7891, 9090]"
2026-09-06T23:55:29.7805163+08:00,[19264],[158818304],[5.90625],[432],[78073856],[9.890625],"[7890, 7891, 9090]"
2026-09-06T23:55:34.8518939+08:00,[19264],[158818304],[5.921875],[432],[78073856],[9.9375],"[7890, 7891, 9090]"
2026-09-06T23:55:39.9259722+08:00,[19264],[158818304],[5.9375],[432],[78073856],[9.9375],"[7890, 7891, 9090]"
2026-09-06T23:55:44.9393227+08:00,[19264],[158785536],[5.953125],[432],[78368768],[10],"[7890, 7891, 9090]"
2026-09-06T23:55:49.9944472+08:00,[19264],[158785536],[5.96875],[432],[78368768],[10.0625],"[7890, 7891, 9090]"
2026-09-06T23:55:55.0622942+08:00,[19264],[158785536],[6.015625],[432],[78368768],[10.140625],"[7890, 7891, 9090]"
2026-09-06T23:56:00.1103457+08:00,[19264],[158785536],[6.03125],[432],[78368768],[10.15625],"[7890, 7891, 9090]"
2026-09-06T23:56:05.1688203+08:00,[19264],[158814208],[6.03125],[432],[78368768],[10.171875],"[7890, 7891, 9090]"
2026-09-06T23:56:10.2280966+08:00,[19264],[158814208],[6.046875],[432],[78368768],[10.234375],"[7890, 7891, 9090]"
2026-09-06T23:56:15.2606493+08:00,[19264],[158814208],[6.078125],[432],[78368768],[10.328125],"[7890, 7891, 9090]"
2026-09-06T23:56:20.3653884+08:00,[19264],[158814208],[6.09375],[432],[78331904],[10.328125],"[7890, 7891, 9090]"
2026-09-06T23:56:25.4148096+08:00,[19264],[158814208],[6.109375],[432],[78368768],[10.375],"[7890, 7891, 9090]"
2026-09-06T23:56:30.4604345+08:00,[19264],[159870976],[6.109375],[432],[78368768],[10.453125],"[7890, 7891, 9090]"
2026-09-06T23:56:35.5446709+08:00,[19264],[158814208],[6.125],[432],[78368768],[10.453125],"[7890, 7891, 9090]"
2026-09-06T23:56:40.6026503+08:00,[19264],[158814208],[6.140625],[432],[78368768],[10.453125],"[7890, 7891, 9090]"
2026-09-06T23:56:45.7066017+08:00,[19264],[158814208],[6.140625],[432],[78368768],[10.453125],"[7890, 7891, 9090]"
2026-09-06T23:56:50.7328579+08:00,[19264],[158814208],[6.171875],[432],[78368768],[10.453125],"[7890, 7891, 9090]"
2026-09-06T23:56:55.7904344+08:00,[19264],[158814208],[6.1875],[432],[78368768],[10.5],"[7890, 7891, 9090]"
2026-09-06T23:57:00.8323835+08:00,[19264],[158814208],[6.203125],[432],[78368768],[10.5],"[7890, 7891, 9090]"
2026-09-06T23:57:05.9096407+08:00,[19264],[158814208],[6.203125],[432],[78368768],[10.515625],"[7890, 7891, 9090]"
2026-09-06T23:57:10.9663329+08:00,[19264],[158814208],[6.203125],[432],[78368768],[10.53125],"[7890, 7891, 9090]"
2026-09-06T23:57:16.0384496+08:00,[19264],[158814208],[6.234375],[432],[78368768],[10.65625],"[7890, 7891, 9090]"
2026-09-06T23:57:21.1074682+08:00,[19264],[158814208],[6.265625],[432],[78368768],[10.6875],"[7890, 7891, 9090]"
2026-09-06T23:57:26.1764972+08:00,[19264],[158814208],[6.265625],[432],[78368768],[10.71875],"[7890, 7891, 9090]"
